Water level predictions and measurements
from NOAA gage 8728690 (Apalachicola, 
Florida) for a three-week period surrounding
Hurricane Michael in October 2018. The
timestamps are formatted as YYYYMMDDhhmm in
Greenwich Mean Time. WL_predict_m are the
harmonic tide predictions in meters relative
to NAVD88. WL_measured_m are the water level
measurements in meters relative to NAVD88.
*
TimeGMT WL_predict_m WL_measured_m
201810040142 0.012 0.171
201810040148 0.022 0.182
201810040154 0.032 0.193
201810040200 0.042 0.201
201810040206 0.053 0.212
201810040212 0.063 0.225
201810040218 0.073 0.235
201810040224 0.083 0.247
201810040230 0.093 0.260
201810040236 0.102 0.272
201810040242 0.112 0.279
201810040248 0.121 0.288
201810040254 0.131 0.299
201810040300 0.140 0.309
201810040306 0.148 0.318
201810040312 0.157 0.325
201810040318 0.165 0.336
201810040324 0.173 0.344
201810040330 0.181 0.349
201810040336 0.189 0.358
201810040342 0.196 0.368
201810040348 0.203 0.377
201810040354 0.209 0.383
201810040400 0.216 0.389
201810040406 0.222 0.395
201810040412 0.228 0.400
201810040418 0.233 0.406
201810040424 0.239 0.410
201810040430 0.244 0.417
201810040436 0.249 0.423
201810040442 0.253 0.428
201810040448 0.257 0.431
201810040454 0.262 0.434
201810040500 0.265 0.438
201810040506 0.269 0.444
201810040512 0.272 0.450
201810040518 0.275 0.460
201810040524 0.278 0.468
201810040530 0.280 0.477
201810040536 0.283 0.477
201810040542 0.285 0.474
201810040548 0.286 0.470
201810040554 0.288 0.472
201810040600 0.289 0.478
201810040606 0.290 0.482
201810040612 0.291 0.485
201810040618 0.292 0.489
201810040624 0.292 0.494
201810040630 0.292 0.493
201810040636 0.292 0.492
201810040642 0.292 0.489
201810040648 0.291 0.490
201810040654 0.290 0.487
201810040700 0.289 0.482
201810040706 0.288 0.477
201810040712 0.287 0.475
201810040718 0.285 0.474
201810040724 0.284 0.473
201810040730 0.282 0.470
201810040736 0.280 0.466
201810040742 0.278 0.459
201810040748 0.276 0.456
201810040754 0.273 0.450
201810040800 0.271 0.446
201810040806 0.269 0.438
201810040812 0.266 0.433
201810040818 0.264 0.427
201810040824 0.262 0.424
201810040830 0.259 0.417
201810040836 0.257 0.414
201810040842 0.254 0.407
201810040848 0.252 0.402
201810040854 0.250 0.397
201810040900 0.248 0.390
201810040906 0.245 0.383
201810040912 0.243 0.382
201810040918 0.241 0.380
201810040924 0.240 0.376
201810040930 0.238 0.374
201810040936 0.236 0.375
201810040942 0.235 0.375
201810040948 0.233 0.371
201810040954 0.232 0.368
201810041000 0.231 0.365
201810041006 0.230 0.364
201810041012 0.229 0.360
201810041018 0.228 0.360
201810041024 0.227 0.356
201810041030 0.227 0.354
201810041036 0.227 0.357
201810041042 0.226 0.356
201810041048 0.226 0.355
201810041054 0.226 0.356
201810041100 0.227 0.358
201810041106 0.227 0.358
201810041112 0.228 0.359
201810041118 0.229 0.360
201810041124 0.230 0.362
201810041130 0.231 0.364
201810041136 0.232 0.362
201810041142 0.234 0.364
201810041148 0.236 0.368
201810041154 0.238 0.371
201810041200 0.240 0.375
201810041206 0.242 0.379
201810041212 0.245 0.380
201810041218 0.248 0.388
201810041224 0.250 0.395
201810041230 0.254 0.401
201810041236 0.257 0.405
201810041242 0.260 0.411
201810041248 0.264 0.414
201810041254 0.267 0.419
201810041300 0.271 0.426
201810041306 0.275 0.434
201810041312 0.279 0.439
201810041318 0.283 0.445
201810041324 0.286 0.452
201810041330 0.290 0.459
201810041336 0.294 0.465
201810041342 0.298 0.472
201810041348 0.301 0.476
201810041354 0.305 0.478
201810041400 0.308 0.484
201810041406 0.311 0.490
201810041412 0.314 0.495
201810041418 0.317 0.495
201810041424 0.320 0.497
201810041430 0.322 0.502
201810041436 0.324 0.502
201810041442 0.325 0.504
201810041448 0.326 0.505
201810041454 0.327 0.507
201810041500 0.328 0.507
201810041506 0.328 0.504
201810041512 0.328 0.502
201810041518 0.327 0.499
201810041524 0.326 0.495
201810041530 0.325 0.490
201810041536 0.324 0.489
201810041542 0.322 0.489
201810041548 0.319 0.483
201810041554 0.317 0.478
201810041600 0.314 0.474
201810041606 0.310 0.470
201810041612 0.307 0.464
201810041618 0.303 0.459
201810041624 0.299 0.454
201810041630 0.295 0.446
201810041636 0.290 0.440
201810041642 0.285 0.435
201810041648 0.280 0.432
201810041654 0.275 0.424
201810041700 0.270 0.420
201810041706 0.264 0.415
201810041712 0.259 0.406
201810041718 0.253 0.400
201810041724 0.247 0.395
201810041730 0.241 0.389
201810041736 0.235 0.378
201810041742 0.228 0.372
201810041748 0.222 0.368
201810041754 0.215 0.363
201810041800 0.209 0.358
201810041806 0.202 0.355
201810041812 0.195 0.350
201810041818 0.188 0.341
201810041824 0.181 0.336
201810041830 0.174 0.331
201810041836 0.167 0.322
201810041842 0.160 0.312
201810041848 0.152 0.306
